ID,Ascribed period,Type,Loop shape,Site Type (Primary),Loop?,Feet?,Material,Clapper?,Lat (Y),Long (X),Site Name,Site Type (Specific),County,Decoration?,Published in,Max Diameter (mm),Min Diameter (mm),Max Height (mm),Additional Information,Manufacture,Dating Info,Description
170,?Roman,Openwork,Circular,Rural,TRUE,FALSE,Cu alloy,TRUE,52.87213,0.83324,Barsham,PAS,Norfolk,FALSE,PAS: NMS-323DE0,20,-,21,-,Cast,-,"Incomplete tinned bell. Upper part of only, with a circular suspension loop with a circular aperture. The bell retains the remains of an iron crown staple and clapper. There are at least eight triangular apertures in side."
173,Roman,Openwork,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,50.9233,-2.6205,Barwick,PAS,Somerset,FALSE,PAS: SOM-ECC8D2,25.37,-,31.83,-,Cast,-,"Conical bell, with an irregular pentagonal suspension loop, with a very small circular aperture. The upper part of the bell’s body is pierced with sub-rectangular / triangular holes. Inside, at the apex of the body, brown-orange erosion can be seen, proba"
235,Roman,Conical,Ovate,Rural,TRUE,FALSE,Cu alloy,FALSE,53.4,-0.95,Bassetlaw,PAS,Nottinghamshire,TRUE,PAS: SWYOR-FE6F46,28.6,-,36.5,-,-,-,"Incomplete. Conical bell with an integral ovate suspension loop at the apex, with a large circular aperture. The bell is covered with a white metal coating, probably tin, and file marks are visible on the outer surface. There is a circumferential raised r"
239,Roman,Unknown,Ovate,Rural,TRUE,FALSE,Cu alloy,FALSE,52.6727,-2.7654,Bayston Hill,PAS,Shropshire,TRUE,PAS: HESH-1B3DE5,-,-,-,-,Cast,-,Three fragments from a bell of probable Roman date.  Although the fragments do not fit together it is likely that they come from the same bell. It is likely that the bell was originally qudrangular or conical in form. The largest of the fragments consists
167,?Roman,Openwork,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.619553,0.591489,Beachamwell,PAS,Norfolk,FALSE,PAS: NMS-59BE96,21,-,23,-,Cast,-,"Slightly more than a third of a white-metal bell. The body of the bell is decorated with triangular apertures (two complete and two partial) in the sides. The suspension loop is circular, slightly faceted, with a circular aperture. No clapper recorded, bu"
109,-,Iron,Circular,Villa,TRUE,FALSE,Iron,FALSE,54.25331,-0.99923,Beadlam,,North Yorkshire,FALSE,"Neal 1996: 58, Fig. 40.96",100,24,123,"Found in the stoke hole of Room 8, Building 2. Curiously it contained terrestrial mollusc ‘Oxychilus cellarius’ noted for it carnivorous nature & it is questioned whether the snails may have been associated with a rotting carcass to which the bell belonge",Rivetted & folded,,Formed from a single sheet by rivetting along the edge of one of the narrow sides and is unusually narrow
213,Roman,Fragment,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.92456,-3.01808,Beaumont,PAS,Cumbria,FALSE,PAS: LANCUM-1F86BB,28.34,-,19.01,-,Cast,-,"Fragment, comprising of the top section of the bell, the rest missing due to old breaks. The fragment is conical, but not enough remains to identify what it would have looked like whole. It has two projections at the top which would have formed the suspen"
274,Roman,Unknown,Unclear,Rural,TRUE,FALSE,Cu alloy,FALSE,51.76,-0.56,Berkhamstead,PAS,Hertfordshire,FALSE,PAS: NARC-3256,37.53,-,42.98,-,Cast,-,No image. Description from PAS as follows: 'A simple conical bell with integral roughly cast suspension loop. There is no clapper and the fabric is a 'gunmetal grey' coloured copper-alloy.'
25,?Roman,Quadrangular,Pentagonal,Other,TRUE,TRUE,Cu alloy,FALSE,55.630956,-3.897885,Birkwood,Unknown,Lanarkshire,FALSE,"Clarke 1972: 228-30, Fig. 3.4",-,-,44,'Picked up' by some labourers c.1815-25.,Cast,-,"Four-sided pyramidal bell in good condition. The bottom corners of the bell are slightly extended, forming four feet. The pentagonal suspension loop is heavily worn on the outer edges, and has an oval aperture. Traces of original iron clapper, and seconda"
155,Roman,Conical,Ovate,Rural,TRUE,FALSE,Cu alloy,FALSE,54.678333,-1.488333,Bishop Middleham,PAS,County Durham,FALSE,PAS: NCL-227713,27.9,-,30.13,-,Cast,-,"Incomplete. Missing the clapper and suffering damage at the base. It is conical with a sub-triangular suspension loop at the apex. The base has a slight raised ridge approximately 3mm above the edge. Internally, the clapper would have suspended from a sus"
179,Roman,Openwork,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,52.64,0.844,Bradenham,PAS,Norfolk,FALSE,PAS: NMS-FB6E62,22,-,28,-,Cast,-,"A partly squashed bell, probably originally conical in form. It has a suspension loop which is either a sub-triangular or a distorted circular shape, with a circular aperture. There is a pierced slot for the missing clapper at the top of the interior. The"
266,Roman,Domed,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.179,0.756,Bradfield Combust with Stanningfield,PAS,Suffolk,TRUE,PAS: SF-9302,28,-,26,-,-,-,"Incomplete. The bell is conical, missing the lower part of one side. The circular suspension loop is 10mm in length and 11mm wide, and has a small circular aperture. Beneath the suspension loop are three transverse grooves. The inside of the bell contains"
251,Roman,Conical,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.4798,-0.8449,Brampton Ash,PAS,Northamptonshire,TRUE,PAS: NARC-F1DAD4,28.6,-,34.4,-,Cast,-,"Conical bell with a mouth which is circular in plan. The suspension loop (10.5mm in length) is circular in shape with a small circular aperture. Below the suspension loop, on the apex of the bell, there is a 'skirt' extending a further 4.2mm down the body"
26,Roman,Quadrangular,Circular,Military,TRUE,TRUE,Cu alloy,TRUE,52.96219,0.64132,Brancaster,Fort,Norfolk,FALSE,"Hinchcliffe & Sparey Green 1985: 44, Fig. 29.10",-,-,-,"From the upper filling of boundary ditch 21, Area I (which dates to 3rd cent. AD)",Cast,3rd cent. AD,"Incomplete. Four-sided squashed pyramidal bell, with one side truncated. Three of the bottom corners of the bell are slightly extended, forming three feet. The suspension loop is slightly flattened, and was probably circular in shaper with a circular aper"
267,Roman,Quadrangular,Hexagonal,Rural,TRUE,TRUE,Cu alloy,FALSE,52.5,0.766667,Breckland,PAS,Norfolk,FALSE,PAS: SF-3583,31,-,62,-,Cast,-,"Incomplete, as it is missing the clapper. The bell is undecorated and basically pyramidal with a rectangular section, with two wider flatter faces and two narrower more rounded sides. The base measures 49 x 31 mm except where it is slightly bent out of sh"
160,Roman,Openwork,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.245,1.1274,Bridge,PAS,Kent,FALSE,PAS: LEIC-DA4DB7,25,-,28,-,Cast,-,Slightly domed in form with a large integral hexagonal suspension loop with a small circular aperture. The body has a line of triangular cut-outs arranged with alternative alignments so they form a ‘zig-zag’ band along the centre of the body. No clapper r
228,Roman,Openwork,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.82,-1.052,Brill,PAS,Buckinghamshire,FALSE,PAS: BUC-F532E5,10.9,-,12.45,-,-,-,"A squashed conical bell, probably of Roman date. It would have been circular in plan but has been squashed in from both sides. It is triangular in profile, with an integral pentagonal suspension loop at its apex, with a circular aperture. The sides are de"
110,Roman,Miscellaneous,Circular,Military,TRUE,FALSE,Cu alloy,TRUE,54.6445,-2.724763,Brougham,Burial,Cumbria,FALSE,"Cool 2004: 159, Fig. 4.142",28,-,15,"From Phase 1 urned cremation burial of an infant (3-4 years, unsexed). Cremated bones and bell placed in BB1 jar, with a BB1 bowl inverted over mouth of urn as a lid, with a ?2nd-3rd C beaker and Central Gaulish form 33 cup placed on top of ‘urn’ lid.",Cast,Phase 1 = c.AD 200/20 - 40,"No recorded description. Image depicts a domed bell with a projecting skirt at the rim. Image also indicates that the suspension loop is formed by a piece of wire which passes through the apex of the bell, then loops around to form a circular loop. Clappe"
219,Roman,Domed,Circular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.50099,1.11754,Bunwell,PAS,Norfolk,FALSE,PAS: NMS-778E97,48,-,46,-,-,-,"Incomplete, as part of the chamber-wall and the base are missing. Break appears to be recent. It would have originally been circular in plan. The circular suspension loop with a circular aperture. Slight traces of an iron crown staple."
27,?Roman,Quadrangular,Circular,Military,TRUE,TRUE,Cu alloy,TRUE,52.58547,1.65365,Burgh Castle,? Hoard,Norfolk,FALSE,"Johnson 1983: 79, Fig. 35.73",-,-,-,-,Cast,-,"Four-sided pyramidal bell, rectangular in plan. The bottom corners of the bell are slightly extended and rounded, forming four feet. The apex of the bell has an iron bar for hanging the presumably now missing clapper. The iron bar has some corrosion on th"
140,Roman - Medieval,Domed,-,Rural,FALSE,FALSE,Cu alloy,FALSE,52.17,0.4,Burrough Green,PAS,Cambridgeshire,TRUE,PAS: SF-F86307,23.04,-,12.09,-,Cast,-,Incomplete. The bell is hemispherical in form with a central circular aperture at the top where the clapper would originally have passed through. On the domed front face of the object is incised decoration comprising a border at the rim formed from a sing
190,Early Medieval,Openwork,Sub-triangular,Rural,TRUE,FALSE,Cu alloy,FALSE,52.107,1.458,Butley,PAS,Suffolk,FALSE,PAS: SF-349CD7,23.5,-,32.58,-,Cast,Ascribed date of 10th - 11th century,"Incomplete. Conical in form, hollow and now slightly flattened on one side. At the apex of the bell is an integral flat suspension loop that is an inverted triangle in shape, with a central circular perforation. The conical body has openwork decoration co"
139,Roman,Conical,Squared,Rural,TRUE,FALSE,Cu alloy,FALSE,54.014,-0.883,Buttercrambe,PAS,North Yorkshire,FALSE,PAS: LVPL-6B5094,31.43,-,38.31,-,Cast,-,"The object is circular in plan and conical. At the top of the bell is an integral squared suspension loop, with a circular aperture. The clapper is missing and iron corrosion remains where it would have been attached. The object has been tinned."
28,Roman,Quadrangular,Hexagonal,Military,TRUE,TRUE,Cu alloy,FALSE,51.615,-2.959,Caerleon,Fortress,Gwent,FALSE,"Evans & Metcalf 1992: 154, Fig. 342",-,-,-,Block A. Phase IV. Block A = Main Barrack Block. Phase IV = rebuilding of barrack in stone c. AD160.,Cast,c. AD 160,"Small, four-sided pyramidal bell. The corners of the bell extend very slightly, perhaps forming feet, though the number of feet is not clear from the image or recorded description. The associated material found within the bell contains very fragmentary re"
29,Roman,Quadrangular,Hexagonal,Military,TRUE,TRUE,Cu alloy,FALSE,51.615,-2.959,Caerleon,Fortress,Gwent,FALSE,"Evans & Metcalf 1992: 154, Fig. 343",-,-,-,"Block B, Phase III. Block B = Barrack Block. Phase III = Rebuilding of Barrack Block in stone c. AD 100.",Cast,c. AD 100,"Incomplete. One long side partly lost, the other side has two corners slightly extended to form two feet. Enough remains to show a wide mouth. Clapper missing."
100,Roman,Conical,Circular,Military,TRUE,FALSE,Cu alloy,FALSE,51.615,-2.959,Caerleon,Fortress,Gwent,FALSE,"Zienkiewicz 1986: 258, Fig. 58.64",-,-,-,-,Cast,-,"Incomplete. Conical bell with a section of the rim missing. Traces of iron on the interior, possibly the remains of the clapper. The suspension loop is worn, and was probably originally circular in shape."
103,Roman,Iron,-,Military,FALSE,FALSE,Iron,FALSE,51.615,-2.959,Caerleon,Fortress,Gwent,FALSE,"Evans & Metcalf 1992: 169, Fig. 33",-,-,46,From the ‘Roman Gates’ site in the fortress of the 2nd Augustan Legion at Caerleon.,Cast,-,"Incomplete. Rectangular in plan. There is a slight trace of a suspension ring (now missing) and possible traces of the clapper suspension (clapper now missing). Image indicates the bell has a slightly pitted surface, and a corroded rim."
30,-,Quadrangular,Hexagonal,Small town,TRUE,TRUE,Cu alloy,FALSE,51.3188,-2.4526,Camerton,,Somerset,FALSE,"Wedlake 1958: 258, Fig. 59.29",-,-,-,-,Cast,-,"Four-sided pyramidal bell, tinned. Each of the four corners has a knobbed lug. Inside the apex of the bell there is a small iron ring inside for the now missing clapper. The suspension loop is hexagonal in shape, with an oval aperture."
264,Roman,Domed,-,Rural,FALSE,FALSE,Cu alloy,FALSE,52.153,1.406,Campsea Ashe,PAS,Suffolk,TRUE,PAS: SF-676131,49.64,-,41.2,-,Cast,-,"Incomplete. Domed bell with a mouth which is oval in shape. The suspension loop is missing. At the top of this bell there are two small oval shaped parallel perforations 13.16mm apart, with corroded iron within and between them. In the inside face of the "
73,Roman,Domed,Hexagonal,Large town,TRUE,FALSE,Cu alloy,TRUE,51.28,1.08,Canterbury,,Kent,TRUE,"Blockley et al. 1995: 1007, Fig. 421.247",22,-,-,"Marlow Car Park excavations, Period 2",Cast,c. AD 70/80-100/110,Complete domed bell. The worn hexagonal suspension loop has a small circular aperture. Iron clapper remains in situ inside the bell. There is a pair of circumferential incised grooves around the body. Interpreted as being part of a horse harness.
278,Roman,Tulip,Pentagonal,Large town,TRUE,FALSE,Cu alloy,FALSE,51.28,1.08,Canterbury,Baths,Kent,FALSE,"Blockley et al. 1995: 1022, fig. 431, No. 343",52,,95,"M III 3678 (844) 3I-IV, pebble layer in palaestra; Period 3 = c. AD 100/110-300/320",Cast,c. AD 100/110-300/320,Complete copper-alloy bell with an iron clapper suspended from a loop arrangement; pentagonal loop.
8,?Roman,Shouldered,-,Military,FALSE,FALSE,Cu alloy,FALSE,55.03394351,-2.221951702,Carrawburgh,Fort,Northumberland,FALSE,"Breeze 1972: 140-1, Fig 15.165",42,-,27,-,Cast,-,"Incomplete. Circular in plan. Part of the rim seems to be worn away. The sides of the bell slope to a shelf, then rise again in a pierced boss with a dimple at the apex. The suspension loop is missing, but evidenced by rust staining around the perforation"
9,Roman,Shouldered,-,Military/town,FALSE,FALSE,Cu alloy,FALSE,54.377,-1.63,Catterick,,North Yorkshire,FALSE,"Wilson 2002: 146, Fig. 301.16",47,-,-,Objects recovered by JJJ Embleton,Cast,u/s,"Incomplete. Circular in plan. The sides of the bell slope to a shoulder, then narrow sharply to the apex. There are four perforations around the top; in one the remains of a cu alloy bar, which probably looped around to the opposite perforation to form a "
147,Roman,Conical,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.1822,-1.017186,Cawton,PAS,North Yorkshire,TRUE,PAS: YORYM-D0D776,31.4,-,32.6,-,Cast,-,"Incomplete. The bell is triangular in plan with a circular suspension loop projecting from the apex, although part of the loop is missing. A raised rim is present around the base of the bell. The interior of the bell is undecorated and the clapper no long"
156,Roman - Medieval,Domed,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.1822,-1.017186,Cawton,PAS,North Yorkshire,FALSE,PAS: YORYM-CEA1D5,31.5,-,27.7,-,Cast,-,"Incomplete. The object is dome-shaped, with the rim and a section of the body missing. It has a rectangular sectioned suspension loop projecting from the top, but the loop proper no longer remains. There is no indication as to how the clapper was attached"
157,Roman - Medieval,Conical,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.1822,-1.017186,Cawton,PAS,North Yorkshire,FALSE,PAS: YORYM-CE8FC2,31.9,-,17.6,-,Cast,-,Incomplete. The object is roughly cone-shaped with faint wear marks present at the point from which the now missing suspension loop would have projected. Inside the bell the worn remains of the clapper attachment can be seen. The metal is a mid-blackish g
31,-,Quadrangular,Pentagonal,Large town,TRUE,TRUE,Cu alloy,FALSE,50.8365,-0.7792,Chichester,,West Sussex,FALSE,"Down 1974: 141, Fig. 8.15.24",-,-,-,-,Cast,-,"The four sides of the bell are slightly convex and flare slightly at the corners, but they do not form feet. The suspension loop is hexagonal in shape with a projecting pyramidal spur at the top, making it pentagonal, and has a circular aperture. No clapp"
50,-,Domed,Hexagonal,Large town,TRUE,FALSE,Cu alloy,FALSE,50.8365,-0.7792,Chichester,,West Sussex,TRUE,"Down 1981: 169, Fig. 8.32.39",-,-,-,From NW quadrant (areas 8 and 9),Cast,,Domed and circular in plan. Hexagonal suspension loop with a circular aperture. Image suggests a pair of circumferential incised lines around the middle of the dome.
51,-,Domed,Hexagonal,Large town,TRUE,FALSE,Cu alloy,FALSE,50.8365,-0.7792,Chichester,,West Sussex,TRUE,"Down 1989: 200, Fig. 27.5.68",-,-,-,-,Cast,-,"Domed. Hexagonal suspension loop with a small, circular aperture. Image suggests a circumferential incised line around the middle of the dome, and another towards the apex of the bell."
104,Roman,Iron,Unclear,Large town,TRUE,FALSE,Iron,TRUE,50.8365,-0.7792,Chichester,Burial,West Sussex,FALSE,Down & Rule 1971: 91,-,-,-,"Burial Group 11. C. Grave of a child. Found alongside a spherical flint pebble and a carinated brown, red slip cross on base.",Cast,cemetery dated AD 70-late 3rd/early 4th C,"No image. Recorded description as follows: 'Iron bell, of simple form with rectangular mouth. The clapper is attached to the ring forming the handle.'"
130,?Roman,Openwork,-,Rural,FALSE,FALSE,Cu alloy,FALSE,51.0534,-1.2767,Chilcomb,PAS,Hampshire,FALSE,PAS: HAMP-AF9143,18.8,-,20,-,Cast,-,"Incomplete. A squashed and slightly damaged bell of uncertain date. The conical bell would have been circular in plan but has been squashed in from both sides. It is triangular in profile, with just a tab at its apex where the integral suspension loop wou"
215,Roman,Domed,Semi-circular,Rural,TRUE,FALSE,Cu alloy,TRUE,52.7,-1.579,Chilcote,PAS,Leicestershire,FALSE,PAS: WAW-16B32B,41.55,-,59.8,-,-,-,"Square in plan. Semi-circular suspension loop, oval in section, with a circular aperture. At the upper edge of two opposite faces there is a circular perforation which is filled with iron; originally from this wire the clapper was suspended. The clapper i"
292,,Openwork,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,52.3,0.43,Chippenham,PAS,Cambridgeshire,FALSE,PAS: SF-2C7AE4,19,,27,,Cast,,"triangles in groups. Two groups consist of four triangles each, with their points arranged inwards towards each other. In between these groups there are two pairs of opposing triangles, again with their points towards each other, with the bases towards lo"
125,Roman,Domed and Lipped,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.574,-1.151,Cholsey,PAS,Oxfordshire,FALSE,PAS: BERK-3649A5,25.01,-,25.98,-,Cast,?1st - 4th cent. AD,"Complete but distorted bell. The bell has been flattened slightly so that from the side it appears triangular in plan. The suspension loop is worn, but hexagonal in shape with a circular aperture. The bell is decorated with a simple groove around the bott"
150,Roman,Conical,-,Rural,FALSE,FALSE,Cu alloy,FALSE,54.03309,-0.94172,Claxton,PAS,North Yorkshire,TRUE,PAS: NCL-B01174,28.58,-,26.15,-,Cast,-,"Incomplete. The object is damaged, there is corrosion where the clapper would have been and the bottom has been broken. The bottom of the object is decorated with two concentric raised lines. The suspension loop at the top of the object has been broken of"
191,Early Medieval,Openwork,Pentagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.84306,-2.05643,Coberley,PAS,Gloucestershire,FALSE,PAS: GLO-986104,16,-,27,-,Cast,Ascribed date of AD 900 - 1100,"Incomplete. Originally conical in form, but is now slightly distorted and squashed on one side. At the apex of the bell is an integral pentagonal shaped suspension loop. A line of alternating triangular holes have been cut into the side of the bell formin"
275,Roman,Quadrangular,Hexagonal,Rural,TRUE,TRUE,Cu alloy,TRUE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,54.64,-,75.88,-,Cast,-,"Complete and in excellent condition. Four-sided pyramidal bell, with a mouth that is square in plan. The pentagonal suspension loop has a circular aperture. The iron clapper remains intact in the interior of the bell, set axially to the longest side. Curr"
294,Roman,Quadrangular,Hexagonal,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,14 bells found together,Cast,,"Complete and in excellent condition. Four-sided pyramidal bell, with a mouth that is square in plan. The pentagonal suspension loop has a circular aperture. The iron clapper remains intact in the interior of the bell, set axially to the longest side. Curr"
295,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
296,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
297,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
298,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
299,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
300,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
301,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
302,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
303,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
304,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
305,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
306,Roman,Quadrangular,,Rural,TRUE,FALSE,Cu alloy,FALSE,51.8717,0.6913,Coggeshall,PAS,Essex,FALSE,PAS: NARC-67; Denison 2000,,,,,Cast,,
32,-,Quadrangular,Hexagonal,Large town,TRUE,TRUE,Cu alloy,TRUE,51.8917,0.903,Colchester,,Essex,FALSE,"Crummy 1992: 187, Fig. 5.15.1663",45,30,51mm,"Culver Street, Colchester. Floor make up / dump deposit in Building 120. Period 5a.",Cast,c. AD 225-?300,"Four-sided pyramidal bell. Sub-rectangular in section, with a knobbed lug at each rounded corner. The large suspension loop, hexagonal in shape with a circular aperture, is set across the narrower dimension."
52,Roman,Domed,Unclear,Large town,TRUE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,,Essex,TRUE,"Crummy 1983: 127, Fig. 143.4166",27,-,23,M111 Rampart 1A,Cast,c. AD 150,"Incomplete. Two fragments of a bell with raised central boss. There are traces of an iron clapper on the inside. The suspension loop is worn but was probably semi-circular in shape, and the aperture is not visible. The loop  would have been formed by the "
53,Roman,Domed,Unclear,Large town,TRUE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,,Essex,FALSE,"Crummy 1983: 127, Fig. 143.4165",21.5,-,23,Unstratified,Cast,-,"Incomplete. Small domed bell, heavily corroded, with a suspension loop in four fragments. Clapper missing."
54,Roman,Domed,Circular,Large town,TRUE,FALSE,Cu alloy,FALSE,51.8917,0.903,Colchester,,Essex,FALSE,Green 1976: 217,-,-,12,-,Cast,-,"No description recorded. Image indicates a miniature domed bell, with a circular suspension loop which has a circular aperture. Clapper seems to be missing."
